"subj_idx","rt","response","rwdType","tgtPos","colPos","colMatch"
9,0.48918,1,0,2,0,0
9,1.261025,1,0,1,0,0
9,1.59129,0,1,2,2,2
9,0.86112,1,0,3,0,0
9,0.4457649998,1,1,3,3,2
9,0.8617049998,0,0,2,0,0
9,0.9597799999,1,1,1,1,2
9,0.296505,1,0,3,0,0
9,0.3566149999,1,1,3,3,2
9,0.30109,1,1,1,1,2
9,1.81432,1,1,1,1,2
9,0.5326449999,1,0,3,0,0
9,0.2888149999,1,1,1,1,2
9,0.3656000001,1,1,3,3,2
9,0.33133,1,1,1,1,2
9,0.5244149999,1,1,2,2,2
9,0.86011,1,0,1,0,0
9,0.5052449999,1,1,3,3,2
9,0.7326400001,1,1,3,3,2
9,0.8454149999,1,0,1,0,0
9,1.86021,1,0,3,0,0
9,0.9013399999,1,0,3,0,0
9,0.8372749998,0,0,1,0,0
9,0.7470100001,1,1,2,2,2
9,0.7766849999,0,0,2,0,0
10,0.876295,1,1,2,2,2
10,0.579645,1,0,3,0,0
10,0.976695,0,1,2,2,2
10,0.64255,1,1,1,1,2
10,0.578025,1,0,1,0,0
10,0.478665,1,1,2,2,2
10,0.61222,1,0,2,0,0
10,0.506285,1,1,2,2,2
10,0.45069,1,1,3,3,2
10,0.54315,1,0,2,0,0
10,0.474385,1,0,2,0,0
10,0.649795,0,0,1,0,0
10,0.545445,1,1,2,2,2
10,0.689085,1,1,3,3,2
10,0.620655,1,1,2,2,2
10,0.456095,1,0,3,0,0
10,0.560855,1,0,2,0,0
10,0.48149,1,1,3,3,2
10,0.49064,1,0,1,0,0
10,0.437935,1,0,3,0,0
10,0.66879,0,1,1,1,2
10,1.46335,1,1,2,2,2
10,0.532135,0,0,3,0,0
10,0.471505,1,1,1,1,2
10,0.456265,1,0,2,0,0
10,0.391715,1,0,3,0,0
10,0.40495,1,1,2,2,2
10,0.583385,1,0,3,0,0
10,0.4922949999,1,0,3,0,0
10,0.633035,1,1,1,1,2
10,0.388495,1,1,3,3,2
10,0.53476,1,0,1,0,0
10,0.457395,1,1,3,3,2
10,0.4393,1,0,1,0,0
10,0.615305,1,1,1,1,2
10,0.630395,1,1,1,1,2
10,0.8502,1,1,3,3,2
10,0.548095,1,0,2,0,0
10,0.4706999999,1,0,2,0,0
10,0.455395,1,0,1,0,0
10,0.461855,1,0,3,0,0
10,1.23383,0,0,1,0,0
10,0.92552,1,1,1,1,2
10,0.627025,1,1,1,1,2
10,0.840015,1,0,3,0,0
10,0.623485,1,0,1,0,0
10,0.45135,1,1,1,1,2
10,0.552905,1,0,1,0,0
10,0.426925,1,1,3,3,2
10,0.359605,1,1,3,3,2
10,0.87425,1,1,1,1,2
10,0.46013,1,1,3,3,2
10,0.71964,1,1,2,2,2
10,0.423435,1,0,2,0,0
10,0.467875,1,1,2,2,2
10,0.479835,1,0,2,0,0
10,0.482865,1,1,3,3,2
10,1.107195,1,0,1,0,0
10,0.541705,1,0,2,0,0
10,0.43152,1,0,3,0,0
11,0.95192,1,1,3,3,2
11,1.14484,1,0,1,0,0
11,1.245355,1,0,2,0,0
11,1.531465,1,0,1,0,0
11,1.169,1,0,3,0,0
11,0.85351,1,0,3,0,0
11,0.932075,1,1,3,3,2
11,0.623385,0,0,1,0,0
11,1.510995,1,0,3,0,0
11,1.302055,0,1,2,2,2
11,1.21108,1,1,3,3,2
11,1.02097,1,0,3,0,0
11,1.338285,0,1,2,2,2
11,0.75944,0,1,2,2,2
11,1.15397,1,0,1,0,0
11,1.30324,1,1,1,1,2
11,1.029855,1,1,3,3,2
11,1.259095,1,1,2,2,2
11,1.059275,1,1,1,1,2
11,0.882845,1,1,3,3,2
11,1.0341,1,1,3,3,2
11,2.287055,1,0,1,0,0
11,1.142905,0,1,2,2,2
11,1.10285,0,0,1,0,0
11,1.01917,0,1,1,1,2
11,1.14098,1,0,1,0,0
11,1.154235,1,1,2,2,2
11,1.77971,1,1,1,1,2
11,1.095095,1,0,3,0,0
11,1.23471,1,0,2,0,0
11,1.425915,1,1,1,1,2
11,1.79183,1,0,1,0,0
11,1.39586,1,0,2,0,0
11,1.019755,1,1,3,3,2
11,0.9873,1,0,1,0,0
11,1.125905,1,1,2,2,2
11,0.988845,1,0,3,0,0
11,1.154325,1,0,3,0,0
11,1.366415,0,0,2,0,0
11,1.524965,0,0,3,0,0
11,1.52142,1,1,1,1,2
11,1.30463,1,1,1,1,2
11,1.19713,1,0,3,0,0
11,1.01915,1,0,3,0,0
11,2.11443,1,0,1,0,0
11,1.40826,1,1,1,1,2
11,0.901745,1,1,3,3,2
11,1.305075,1,0,2,0,0
11,1.244455,1,1,1,1,2
11,1.214205,1,1,2,2,2
11,1.265765,1,0,2,0,0
12,1.038635,1,1,2,2,2
12,0.53682,1,1,3,3,2
12,0.8852,0,0,1,0,0
12,0.54442,1,1,3,3,2
12,0.59228,0,1,3,3,2
12,1.0118,1,1,1,1,2
12,0.652415,1,1,3,3,2
12,0.452965,1,0,3,0,0
12,0.59815,0,0,2,0,0
12,0.94682,1,0,2,0,0
12,0.48737,1,1,1,1,2
12,0.896765,0,0,3,0,0
12,0.54301,1,1,3,3,2
12,0.52472,1,1,3,3,2
12,0.73728,1,1,3,3,2
12,0.814335,1,1,2,2,2
12,0.95633,1,0,3,0,0
12,0.78118,1,1,1,1,2
12,0.74563,1,1,2,2,2
12,0.575855,0,0,3,0,0
12,0.904805,1,0,1,0,0
12,1.03455,1,1,1,1,2
12,1.232175,1,0,2,0,0
12,0.956635,1,0,1,0,0
12,1.033265,1,1,2,2,2
12,0.77642,1,0,2,0,0
12,1.070365,1,1,2,2,2
12,0.81485,1,0,1,0,0
12,0.95905,1,1,2,2,2
12,0.9912850001,1,0,1,0,0
12,0.926565,1,0,2,0,0
12,0.72321,1,0,1,0,0
12,1.251695,1,0,2,0,0
12,0.79669,1,0,1,0,0
12,0.755515,1,0,2,0,0
12,0.737595,1,0,2,0,0
12,0.956665,1,1,2,2,2
12,0.701365,1,1,2,2,2
12,0.869095,1,0,2,0,0
12,0.843615,1,1,1,1,2
12,0.54949,1,0,3,0,0
12,1.1309,0,1,1,1,2
12,0.754175,0,0,1,0,0
12,0.51302,0,1,1,1,2
12,0.458765,1,1,3,3,2
12,0.459255,1,0,3,0,0
12,0.465315,1,1,3,3,2
12,0.514805,1,0,3,0,0
12,0.77382,1,0,3,0,0
12,0.64369,1,1,2,2,2
12,1.380905,0,0,1,0,0
12,1.478885,1,1,1,1,2
12,1.2061,0,1,2,2,2
12,1.136015,1,0,1,0,0
12,0.6066,1,1,1,1,2
12,0.804525,1,1,1,1,2
12,0.807585,0,0,3,0,0
12,0.87554,1,0,2,0,0
12,0.61283,1,1,3,3,2
13,0.82152,1,0,2,0,0
13,0.922575,1,1,1,1,2
13,0.635675,1,1,3,3,2
13,0.430975,1,0,2,0,0
13,0.37385,0,0,3,0,0
13,1.12522,1,0,1,0,0
13,0.381705,0,1,1,1,2
13,1.708225,1,1,1,1,2
13,1.84675,0,0,3,0,0
13,1.379675,0,0,3,0,0
13,0.50685,0,0,1,0,0
13,0.494225,0,0,3,0,0
13,1.56841,0,1,3,3,2
13,0.313465,0,1,2,2,2
13,0.30952,1,0,3,0,0
13,0.64319,1,0,1,0,0
13,1.19329,1,1,3,3,2
13,0.7647,1,0,1,0,0
13,1.704155,0,0,1,0,0
13,1.12352,0,0,3,0,0
13,0.43582,1,1,1,1,2
13,1.028495,0,0,1,0,0
13,0.662935,1,1,2,2,2
13,1.55519,1,0,2,0,0
13,0.98343,1,1,3,3,2
13,0.720755,1,1,3,3,2
13,0.391445,0,1,3,3,2
13,0.993065,0,1,1,1,2
13,0.350605,0,0,2,0,0
13,0.32515,0,1,3,3,2
13,1.75303,1,0,2,0,0
13,0.34678,1,0,1,0,0
13,0.702915,1,0,3,0,0
13,1.14073,0,0,2,0,0
14,0.727175,1,0,1,0,0
14,0.576165,1,1,3,3,2
14,1.267735,0,0,3,0,0
14,0.739175,1,0,2,0,0
14,0.554045,1,1,3,3,2
14,0.49631,1,0,2,0,0
14,0.61412,1,1,1,1,2
14,0.69974,1,1,1,1,2
14,0.46387,1,1,3,3,2
14,0.627715,1,1,3,3,2
14,0.58378,1,0,3,0,0
14,0.58429,1,1,3,3,2
14,0.8521,1,0,2,0,0
14,0.53472,1,1,3,3,2
14,0.629335,1,1,3,3,2
14,0.540795,0,1,1,1,2
14,0.56199,1,1,1,1,2
14,0.56623,0,0,1,0,0
14,0.54467,1,1,2,2,2
14,1.223545,1,1,1,1,2
14,0.96534,1,1,2,2,2
14,0.91536,1,0,2,0,0
14,0.53748,1,0,3,0,0
14,0.596875,0,1,2,2,2
14,0.801165,1,0,3,0,0
14,0.967705,0,0,1,0,0
14,0.714295,0,0,1,0,0
14,0.788725,1,0,2,0,0
14,1.92192,1,0,1,0,0
14,0.54993,1,0,3,0,0
14,1.037615,1,1,1,1,2
14,0.67328,1,1,3,3,2
14,0.92254,0,0,2,0,0
14,0.552985,1,1,1,1,2
14,1.0575,1,1,1,1,2
14,1.099995,1,1,2,2,2
14,1.101195,0,0,2,0,0
14,0.59435,1,0,1,0,0
14,0.60333,0,1,1,1,2
14,0.728205,1,0,2,0,0
14,0.878345,1,1,3,3,2
14,0.510405,1,1,2,2,2
14,0.90814,0,0,1,0,0
14,0.884465,1,1,2,2,2
14,0.60755,1,0,2,0,0
14,0.70692,0,1,1,1,2
14,0.852405,1,1,3,3,2
14,0.485015,1,0,3,0,0
