"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","url","responses","question_order","view_history","stimulus","key_press","trialType","color","tgtPosition","orientation","correct","rewardType","reward","value","colorPosition"
"","html-keyboard-response","305","534542","0.0-7.0-0.0-1.13-2.13","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">x</p>","null","","","","","","","","",""
"","html-keyboard-response","306","535043","0.0-7.0-0.0-1.13-3.13","fudttrkjtv","green","null","","","","","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","","",""
"","html-keyboard-response","307","535574","0.0-7.0-0.0-1.13-4.13","fudttrkjtv","green","530.3300000013551","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">d</p>","90","RSVPtest","green","2nd","","true","high","","","2nd"
"","html-keyboard-response","308","538075","0.0-7.0-0.0-2.13","fudttrkjtv","green","null","","","","","<p style=""font-size:300%;"">Correct!</p>","null","","","","","","","","",""
"","html-keyboard-response","309","539873","0.0-7.0-0.0-0.14","fudttrkjtv","green","null","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","",""
"","html-keyboard-response","310","540374","0.0-7.0-0.0-1.14-0.14","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">P</p>","null","","","","","","","","",""
"","html-keyboard-response","311","540875","0.0-7.0-0.0-1.14-1.14","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">g</p>","null","","","","","","","","",""
"","html-keyboard-response","312","541390","0.0-7.0-0.0-1.14-2.14","fudttrkjtv","green","null","","","","","<p style=""color: green; text-align:center; font-family: BACS2; font-size:1000%;"">h</p>","null","","","","","","","","",""
"","html-keyboard-response","313","541892","0.0-7.0-0.0-1.14-3.14","fudttrkjtv","green","null","","","","","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","","",""
"","html-keyboard-response","314","542420","0.0-7.0-0.0-1.14-4.14","fudttrkjtv","green","527.3550000020768","","","","","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">C</p>","77","RSVPtest","green","new","","true","high","","","3rd"
"","html-keyboard-response","315","544921","0.0-7.0-0.0-2.14","fudttrkjtv","green","null","","","","","<p style=""font-size:300%;"">Correct!</p>","null","","","","","","","","",""
"","html-keyboard-response","316","547544","0.0-7.0-0.0-4.14-0.14","fudttrkjtv","green","1621.5799999990268","","","","","<p>You have finished block 3 of 5. You may now take up to a 30 second break. Press any key when you are ready to continue, or it will begin automatically after 30 seconds. Remember, press <b>Z</b> if the test character is the same as a previous character in the set or press <b>M</b> if the character is different from the set.</p><p>You responded correctly on 67% of the trials.</p>","90","","","","","","","","",""
"","html-keyboard-response","317","549545","0.0-7.0-0.0-4.14-1.14-0.14","fudttrkjtv","green","null","","","","","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","",""
"","html-keyboard-response","318","550546","0.0-7.0-0.0-4.14-1.14-1.14","fudttrkjtv","green","null","","","","","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","",""
"","html-keyboard-response","319","551547","0.0-7.0-0.0-4.14-1.14-2.14","fudttrkjtv","green","null","","","","","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","",""
"","html-keyboard-response","320","552548","0.0-7.0-0.0-4.14-1.14-3.14","fudttrkjtv","green","null","","","","","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","",""
"","html-keyboard-response","321","553344","0.0-7.0-0.0-0.15","fudttrkjtv","green","null","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","",""
"","html-keyboard-response","322","553845","0.0-7.0-0.0-1.15-0.15","fudttrkjtv","green","null","","","","","<p style=""color: red; text-align:center; font-family: BACS2; font-size:1000%;"">E</p>","null","","","","","","","","",""
"","html-keyboard-response","323","554346","0.0-7.0-0.0-1.15-1.15","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">g</p>","null","","","","","","","","",""
"","html-keyboard-response","324","554847","0.0-7.0-0.0-1.15-2.15","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">v</p>","null","","","","","","","","",""
"","html-keyboard-response","325","555348","0.0-7.0-0.0-1.15-3.15","fudttrkjtv","green","null","","","","","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","","",""
"","html-keyboard-response","326","555839","0.0-7.0-0.0-1.15-4.15","fudttrkjtv","green","489.94999999925494","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">g</p>","77","RSVPtest","red","2nd","","false","low","","","1st"
"","html-keyboard-response","327","558343","0.0-7.0-0.0-2.15","fudttrkjtv","green","null","","","","","<p style=""font-size:300%;"">Miss.</p>","null","","","","","","","","",""
"","html-keyboard-response","328","560140","0.0-7.0-0.0-0.16","fudttrkjtv","green","null","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","",""
"","html-keyboard-response","329","560641","0.0-7.0-0.0-1.16-0.16","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">o</p>","null","","","","","","","","",""
"","html-keyboard-response","330","561142","0.0-7.0-0.0-1.16-1.16","fudttrkjtv","green","null","","","","","<p style=""color: black; text-align:center; font-family: BACS2; font-size:1000%;"">F</p>","null","","","","","","","","",""
"","html-keyboard-response","331","561643","0.0-7.0-0.0-1.16-2.16","fudttrkjtv","green","null","","","","","<p style=""color: green; text-align:center; font-family: BACS1; font-size:1000%;"">c</p>","null","","","","","","","","",""
"","html-keyboard-response","332","562144","0.0-7.0-0.0-1.16-3.16","fudttrkjtv","green","null","","","","","<svg xmlns=""http://www.w3.org/2000/svg"" width=""500"" height=""500"" viewBox=""-5 -5 20 20""> <rect x=""0"" y=""0"" width=""10"" height=""10"" /><path fill=""#FFF"" d=""M 0,1 H 10 v 1 H 0 z m 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zm 0,2 H 10 v 1 H 0 zM 1,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 zm 2,0 V 10 h 1 V 0 z""/></svg>","null","","","","","","","","",""
"","html-keyboard-response","333","562642","0.0-7.0-0.0-1.16-4.16","fudttrkjtv","green","497.28500000131316","","","","","<p style=""color: black; text-align:center; font-family: BACS1; font-size:1000%;"">c</p>","90","RSVPtest","green","3rd","","true","high","","","3rd"
"","html-keyboard-response","334","565144","0.0-7.0-0.0-2.16","fudttrkjtv","green","null","","","","","<p style=""font-size:300%;"">Correct!</p>","null","","","","","","","","",""
"","html-keyboard-response","335","566941","0.0-7.0-0.0-0.17","fudttrkjtv","green","null","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","",""
