subj_idx,rt,response,tgtPos,rwdType,colMatch
3,0.9351,1,0,2,1
3,1.1932,1,1,1,1
3,1.114,1,0,2,1
3,0.8679,1,0,1,1
3,0.777,1,0,1,1
3,1.0084,1,1,1,1
3,0.7763,1,0,2,1
3,0.9883,1,1,1,1
3,0.9215,1,1,1,1
3,0.7746,1,0,2,1
3,1.0408,1,0,1,1
3,1.2228,0,1,2,1
3,1.0151,1,0,2,1
3,1.1516,1,1,2,1
3,0.895,1,0,2,1
3,1.182,1,0,1,1
3,0.833,1,0,1,1
3,0.7747,1,1,1,1
3,0.9331,1,0,1,1
3,1.4404,1,1,1,1
3,0.6414,1,0,2,1
3,1.096,1,1,2,1
3,1.0727,1,0,2,1
3,0.9124,1,1,1,1
3,0.8969,1,1,2,1
3,1.0322,1,0,2,1
3,0.8812,1,1,2,1
3,0.7855,1,1,2,1
3,0.7125,1,1,2,1
3,0.9829,1,1,1,1
3,0.9284,1,0,1,1
3,0.8072,1,1,2,1
3,1.0743,0,0,2,1
3,0.7375,1,0,1,1
3,1.1032,1,1,2,1
3,0.969,0,1,2,1
3,1.179,1,1,2,1
3,1.1837,1,1,1,1
3,1.0127,1,1,2,1
3,1.0175,1,1,1,1
3,1.0798,1,0,2,1
3,0.8218,1,1,1,1
3,0.7839,1,0,2,1
3,1.2224,0,0,1,1
3,0.8627,1,0,1,1
3,0.7763,1,0,2,1
3,0.7697,1,0,1,1
3,0.8378,1,0,1,1
3,1.0686,1,1,2,1
3,1.0225,1,1,1,1
3,0.7653,1,1,1,1
3,0.8427,1,0,1,1
3,1.1579,1,0,2,1
3,0.939,0,0,2,1
3,0.9017,1,0,1,1
3,0.9108,1,1,2,1
3,0.9098,1,1,1,1
3,0.9423,1,0,1,1
3,0.8719,1,1,1,1
3,0.8422,1,0,1,1
3,0.7965,1,0,1,1
3,0.5664,1,0,2,1
3,0.7355,1,0,2,1
3,0.6801,1,1,2,1
3,0.6707,1,1,2,1
3,0.7103,1,0,2,1
3,0.7355,1,1,2,1
3,0.6611,1,1,2,1
3,0.5901,1,0,1,1
4,0.687,1,1,2,1
4,1.0947,1,0,2,1
4,1.5835,1,0,2,1
4,0.557,0,0,1,1
4,0.8648,1,1,1,1
4,0.8787,0,0,2,1
4,0.6812,1,1,2,1
4,0.4707,0,0,2,1
4,0.6235,1,0,1,1
4,0.6315,1,1,1,1
4,0.6155,1,0,1,1
4,0.6715,1,0,2,1
4,0.8862,1,1,1,1
4,0.8396,1,1,1,1
4,0.5127,1,1,2,1
4,0.6607,1,1,1,1
4,0.6643,0,0,2,1
4,0.8215,0,0,1,1
4,0.7044,0,1,1,1
4,0.7505,0,0,1,1
4,0.7322,1,0,1,1
4,0.9749,0,0,1,1
4,0.6052,1,1,2,1
4,1.2611,1,1,1,1
4,0.7745,0,0,1,1
4,1.0301,1,0,2,1
4,0.8301,1,1,2,1
4,0.613,1,0,1,1
4,0.5415,0,0,1,1
4,0.6553,1,0,1,1
4,0.9574,0,1,1,1
4,0.8296,0,1,1,1
4,0.8936,1,0,1,1
4,1.3549,1,0,2,1
4,0.8213,1,0,2,1
4,1.7635,0,0,1,1
4,1.1348,1,1,2,1
4,0.594,1,1,2,1
4,0.6549,0,1,2,1
4,0.8214,1,0,2,1
4,0.661,0,0,2,1
4,0.7166,1,1,2,1
4,0.931,1,1,2,1
4,1.3912,1,0,2,1
4,1.4062,0,0,1,1
4,0.836,1,0,1,1
4,0.7411,1,1,1,1
4,0.6673,1,1,2,1
4,0.5826,1,1,2,1
4,0.5644,1,1,1,1
4,0.5737,0,0,2,1
4,0.5568,0,1,2,1
4,0.6148,1,0,1,1
4,0.6785,1,0,2,1
4,0.5731,0,1,2,1
4,0.6677,1,0,1,1
4,0.6204,1,0,1,1
4,0.7474,1,1,1,1
4,0.5632,1,1,1,1
4,0.5394,1,0,2,1
4,0.7001,1,1,2,1
4,0.9571,0,0,2,1
4,1.0784,1,0,2,1
4,0.6994,1,1,2,1
4,0.6602,1,1,1,1
4,0.6451,1,0,1,1
4,0.621,1,0,2,1
4,0.7417,1,1,2,1
4,0.7643,0,1,2,1
4,0.549,1,1,2,1
4,1.8858,1,1,1,1
4,0.9754,1,0,2,1
4,0.5572,1,0,1,1
4,0.6204,0,1,2,1
4,0.4228,1,0,1,1
4,1.1214,1,1,2,1
4,0.8619,1,1,2,1
4,0.8359,1,0,1,1
4,0.5391,1,0,2,1
4,0.6593,1,1,2,1
4,0.7106,1,0,1,1
4,0.8423,1,0,1,1
4,0.6539,1,1,2,1
4,0.5397,0,1,2,1
4,0.7022,1,1,1,1
4,0.5404,1,0,1,1
4,0.686,0,0,2,1
4,0.6272,1,0,2,1
4,0.6271,0,1,1,1
4,0.4992,0,0,2,1
4,0.5226,0,1,1,1
4,1.5473,1,0,1,1
4,0.5067,1,1,1,1
4,0.6194,1,1,2,1
4,0.5986,1,1,2,1
4,0.62,0,1,2,1
4,0.738,0,0,1,1
4,0.6348,0,1,1,1
4,0.8591,1,1,1,1
4,0.9158,1,1,2,1
4,0.8613,1,1,1,1
4,0.619,1,0,1,1
4,0.8275,1,0,2,1
4,0.8198,0,1,2,1
4,1.223,1,1,1,1
4,0.62,1,1,1,1
4,0.9172,0,0,1,1
4,0.8112,0,1,1,1
4,0.5572,0,0,1,1
4,1.003,1,0,2,1
4,0.6895,0,1,2,1
4,0.8039,0,1,2,1
4,0.8761,1,1,1,1
4,0.7865,1,1,1,1
