"subject","rewardType","tgtPosition","colorPosition","response","rt","congruence"
"3","high","3rd","1st","1",1.304,"incongruent"
"3","high","1st","3rd","1",1.466,"incongruent"
"3","low","3rd","3rd","1",1.093,"congruent"
"3","high","1st","2nd","1",1.628,"incongruent"
"3","low","3rd","1st","1",1.163,"incongruent"
"3","none","3rd","none","1",1.177,"na"
"3","low","3rd","3rd","1",1.057,"congruent"
"3","high","3rd","1st","1",1.026,"incongruent"
"3","none","2nd","none","0",2.01,"na"
"3","low","1st","2nd","0",1.345,"incongruent"
"3","none","3rd","none","1",1.238,"na"
"3","high","1st","1st","1",1.302,"congruent"
"3","low","2nd","1st","1",2.217,"incongruent"
"3","low","2nd","3rd","1",1.688,"incongruent"
"3","none","3rd","none","1",1.456,"na"
"3","low","1st","2nd","1",1.761,"incongruent"
"3","low","2nd","3rd","1",1.197,"incongruent"
"3","low","1st","2nd","1",1.283,"incongruent"
"3","high","1st","3rd","1",1.207,"incongruent"
"3","high","3rd","1st","1",0.874,"incongruent"
"3","none","3rd","none","1",1.092,"na"
"3","none","3rd","none","1",1.405,"na"
"3","high","3rd","3rd","1",1.367,"congruent"
"3","high","3rd","3rd","1",2.49,"congruent"
"3","high","1st","2nd","1",1.139,"incongruent"
"3","low","1st","3rd","1",1.424,"incongruent"
"3","none","1st","none","1",1.418,"na"
"3","high","1st","1st","1",1.178,"congruent"
"3","low","2nd","2nd","1",1.29,"congruent"
"3","low","3rd","2nd","1",1.374,"incongruent"
"3","low","3rd","1st","1",1.161,"incongruent"
"3","low","2nd","2nd","1",1.285,"congruent"
"3","high","2nd","1st","1",1.968,"incongruent"
"3","low","1st","3rd","1",1.212,"incongruent"
"3","low","2nd","1st","1",0.934,"incongruent"
"3","none","1st","none","1",1.154,"na"
"3","low","3rd","2nd","1",1.044,"incongruent"
"3","high","1st","2nd","0",1.028,"incongruent"
"3","none","1st","none","1",1.244,"na"
"3","low","3rd","3rd","1",1.328,"congruent"
"3","high","3rd","2nd","1",1.009,"incongruent"
"3","none","1st","none","0",1.134,"na"
"3","high","1st","3rd","1",1.02,"incongruent"
"3","high","2nd","1st","1",1.22,"incongruent"
"3","low","1st","1st","1",1.17,"congruent"
"3","low","1st","1st","1",1.117,"congruent"
"3","none","2nd","none","1",1.015,"na"
"3","high","2nd","3rd","1",2.057,"incongruent"
"3","low","2nd","2nd","1",1.233,"congruent"
"3","high","1st","2nd","1",1.179,"incongruent"
"3","none","3rd","none","1",1.241,"na"
"3","low","3rd","2nd","1",1.212,"incongruent"
"3","low","2nd","1st","1",1.287,"incongruent"
"3","high","1st","2nd","1",1.144,"incongruent"
"3","high","2nd","1st","1",1.289,"incongruent"
"3","high","3rd","3rd","1",1.134,"congruent"
"3","low","2nd","3rd","1",1.256,"incongruent"
"3","high","3rd","1st","1",1.025,"incongruent"
"3","high","1st","1st","1",1.403,"congruent"
"3","low","3rd","2nd","1",1.337,"incongruent"
"3","high","2nd","3rd","1",1.387,"incongruent"
"3","low","1st","3rd","1",1.489,"incongruent"
"3","high","2nd","1st","1",1.018,"incongruent"
"3","high","2nd","3rd","1",1.027,"incongruent"
"3","high","3rd","2nd","1",1.106,"incongruent"
"3","high","2nd","2nd","1",1.048,"congruent"
"3","low","2nd","1st","1",1.17,"incongruent"
"3","high","2nd","1st","1",1.194,"incongruent"
"3","high","3rd","1st","1",1.479,"incongruent"
"3","high","2nd","2nd","1",1.282,"congruent"
"3","none","1st","none","1",1.122,"na"
"3","low","3rd","1st","1",1.074,"incongruent"
"3","low","1st","3rd","1",1.708,"incongruent"
"3","high","3rd","2nd","1",1.157,"incongruent"
"4","none","1st","none","1",1.448,"na"
"4","low","2nd","2nd","0",1.032,"congruent"
"4","high","1st","1st","1",0.595,"congruent"
"4","low","2nd","1st","0",0.852,"incongruent"
"4","none","1st","none","1",1.019,"na"
"4","high","1st","1st","1",0.432,"congruent"
"4","none","1st","none","1",0.675,"na"
"4","high","3rd","2nd","0",0.755,"incongruent"
"4","none","2nd","none","1",0.59,"na"
"4","low","2nd","3rd","1",0.55,"incongruent"
"4","none","1st","none","0",0.602,"na"
"4","low","1st","1st","1",0.553,"congruent"
"4","low","3rd","3rd","0",0.271,"congruent"
"4","high","1st","3rd","1",0.707,"incongruent"
"4","high","1st","2nd","0",0.965,"incongruent"
"4","high","2nd","1st","1",0.598,"incongruent"
"4","low","1st","1st","1",0.712,"congruent"
"4","low","2nd","3rd","0",0.665,"incongruent"
"4","high","2nd","3rd","0",0.996,"incongruent"
"4","high","3rd","3rd","1",0.46,"congruent"
"4","low","3rd","1st","1",0.435,"incongruent"
"4","none","2nd","none","1",0.645,"na"
"4","none","1st","none","1",0.485,"na"
"4","high","1st","1st","1",0.575,"congruent"
"4","none","3rd","none","0",0.771,"na"
"4","high","3rd","3rd","0",0.592,"congruent"
"4","low","2nd","2nd","1",0.779,"congruent"
"4","low","3rd","3rd","1",0.731,"congruent"
"4","high","1st","3rd","1",0.627,"incongruent"
